Territori;Tipus de territori;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Crecimiento_%
Vilapicina i la Torre Llobeta;Barri;;;;;;;;;;;;;;;8.8;9.32;10.49;11.37;11.57;12.17;12.31;11.56;12.75;13.69;13.88;14.34;46.888412017167376
Porta;Barri;;;;;;;;;;;;;;;8.64;9.1;10.05;10.8;11.44;12.33;12.06;11.48;12.28;13.51;13.44;13.36;48.46153846153847
el Turó de la Peira;Barri;;;;;;;;;;;;;;;7.81;8.34;9.45;10.59;11.3;11.7;11.59;11.27;11.91;12.56;13.11;12.66;50.599520383693054
Can Peguera;Barri;;;;;;;;;;;;;;;5.29;5.79;8.07;11.18;8.08;11.92;;;;;12.45;8.99;
la Guineueta;Barri;;;;;;;;;;;;;;;8.21;8.17;8.78;9.38;10.07;10.48;10.56;9.71;10.83;12.19;11.94;12.41;49.204406364749076
Canyelles;Barri;;;;;;;;;;;;;;;6.98;7.21;8.04;8.6;9.47;9.49;9.66;9.36;9.72;10.76;10.32;10.0;49.237170596393895
les Roquetes;Barri;;;;;;;;;;;;;;;8.33;8.72;9.36;10.17;11.21;11.23;11.65;11.34;12.25;13.61;13.5;13.75;56.07798165137613
Verdun;Barri;;;;;;;;;;;;;;;9.22;9.14;10.1;11.09;11.65;12.08;12.0;12.29;11.99;14.53;13.09;13.76;58.97155361050327
la Prosperitat;Barri;;;;;;;;;;;;;;;8.9;9.63;10.3;11.26;11.76;12.02;12.43;11.84;12.58;13.95;13.93;13.72;44.85981308411213
la Trinitat Nova;Barri;;;;;;;;;;;;;;;8.54;8.79;8.6;10.65;12.02;12.11;11.83;11.62;12.84;13.52;14.23;12.41;53.81114903299205
Torre Baró;Barri;;;;;;;;;;;;;;;5.92;6.06;7.39;6.78;8.24;7.46;8.76;8.84;10.39;7.71;5.72;7.87;27.227722772277236
Ciutat Meridiana;Barri;;;;;;;;;;;;;;;6.38;6.62;6.97;7.59;8.72;9.65;9.25;8.93;9.7;10.39;10.73;9.4;56.94864048338369
Vallbona;Barri;;;;;;;;;;;;;;;4.25;6.66;7.9;6.05;9.48;8.08;7.9;5.96;8.04;;;;
Sant Andreu (Districte);;5.46;6.08;6.71;7.25;7.85;8.98;9.57;10.72;11.45;11.14;10.65;10.45;9.84;9.21;8.86;9.61;10.39;11.36;11.74;12.21;12.35;11.73;12.51;13.83;13.66;14.36;43.91259105098857
la Trinitat Vella;Barri;;;;;;;;;;;;;;;6.98;8.01;8.51;9.16;10.01;10.11;10.86;10.31;10.97;12.53;11.12;13.8;56.4294631710362
Baró de Viver;Barri;;;;;;;;;;;;;;;3.92;4.78;3.52;6.21;7.48;6.51;7.52;8.01;6.12;9.23;7.76;8.01;93.09623430962343
el Bon Pastor;Barri;;;;;;;;;;;;;;;8.05;8.82;8.71;9.52;10.85;10.5;11.88;10.83;11.54;10.9;10.49;13.14;23.582766439909296
